Country code,Service type,Service label,Layer id,Layer name,Min lat,Max lat,Min lon,Max lon
#country +code,#service +type,#service +label,#meta +id,#geo +admin_type,#geo +lat +max,#geo +lat +min,#geo +lon +max,#geo +lon +min
BGD,MapServer,EN,3,Admin2,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,MapServer,EN,4,Admin3 Lines,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,MapServer,EN,5,Admin3,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,MapServer,EN,6,Admin4 Lines,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,MapServer,EN,7,Admin4,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,MapServer,EN,8,Base Map,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,FeatureServer,pcode,0,Admin0,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,FeatureServer,pcode,1,Admin1,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,FeatureServer,pcode,2,Admin2,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,FeatureServer,pcode,3,Admin3,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,FeatureServer,pcode,4,Admin4,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,FeatureServer,pcode,5,Admin Lines,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,MapServer,pcode,0,Admin0,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,MapServer,pcode,1,Admin1,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,MapServer,pcode,2,Admin2,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,MapServer,pcode,3,Admin3,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,MapServer,pcode,4,Admin4,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BGD,MapServer,pcode,5,Admin Lines,20.590609348000044,26.634513010000035,88.00862798600008,92.68030687500004
BOL,MapServer,ES,0,Admin0,-22.898048290999952,-9.669633001999955,-69.64493136999994,-57.45443352799998
BOL,MapServer,ES,1,Admin1,-22.898048290999952,-9.669633001999955,-69.64493136999994,-57.45443352799998
BOL,MapServer,ES,2,Admin2 Lines,-22.898048290999952,-9.669633001999955,-69.64493136999994,-57.45443352799998
BOL,MapServer,ES,3,Admin2,-22.898048290999952,-9.669633001999955,-69.64493136999994,-57.45443352799998
BOL,MapServer,ES,4,Admin3 Lines,-22.898048290999952,-9.669633001999955,-69.64493136999994,-57.45443352799998
BOL,MapServer,ES,5,Admin3,-22.898048290999952,-9.669633001999955,-69.64493136999994,-57.45443352799998
BOL,MapServer,ES,6,Base Map,-22.898048290999952,-9.669633001999955,-69.64493136999994,-57.45443352799998
BOL,MapServer,ES,7,AdminPoints,-22.67312420299993,-10.111303074999967,-69.50337602199994,-57.65668851799995
BOL,FeatureServer,pcode,0,Admin0,-22.898048290999952,-9.669633001999955,-69.64493136999994,-57.45443352799998
BOL,FeatureServer,pcode,1,Admin1,-22.898048290999952,-9.669633001999955,-69.64493136999994,-57.45443352799998
BOL,FeatureServer,pcode,2,Admin2,-22.898048290999952,-9.669633001999955,-69.64493136999994,-57.45443352799998
BOL,FeatureServer,pcode,3,Admin3,-22.898048290999952,-9.669633001999955,-69.64493136999994,-57.45443352799998
BOL,FeatureServer,pcode,4,AdminLines,-22.898048290999952,-9.669633001999955,-69.64493136999994,-57.45443352799998
BOL,FeatureServer,pcode,5,AdminPoints,-22.67312420299993,-10.111303074999967,-69.50337602199994,-57.65668851799995
BOL,MapServer,pcode,0,Admin0,-22.898048290999952,-9.669633001999955,-69.64493136999994,-57.45443352799998
BOL,MapServer,pcode,1,Admin1,-22.898048290999952,-9.669633001999955,-69.64493136999994,-57.45443352799998
BOL,MapServer,pcode,2,Admin2,-22.898048290999952,-9.669633001999955,-69.64493136999994,-57.45443352799998
BOL,MapServer,pcode,3,Admin3,-22.898048290999952,-9.669633001999955,-69.64493136999994,-57.45443352799998
BOL,MapServer,pcode,4,AdminLines,-22.898048290999952,-9.669633001999955,-69.64493136999994,-57.45443352799998
BOL,MapServer,pcode,5,AdminPoints,-22.67312420299993,-10.111303074999967,-69.50337602199994,-57.65668851799995
CAF,MapServer,FR,0,Admin0,2.223446000000024,11.007562000000064,14.42009500000006,27.463423000000034
CAF,MapServer,FR,1,Admin1,2.223446000000024,11.007562000000064,14.42009500000006,27.463423000000034
CAF,MapServer,FR,2,Admin2 Lines,2.223446000000024,11.007562000000064,14.42009500000006,27.463423000000034
CAF,MapServer,FR,3,Admin2,2.223446000000024,11.007562000000064,14.42009500000006,27.463423000000034
CAF,MapServer,FR,4,Admin3 Lines,2.223446000000024,11.007562000000064,14.42009500000006,27.463423000000034
CAF,MapServer,FR,5,Admin3,2.223446000000024,11.007562000000064,14.42009500000006,27.463423000000034
CAF,MapServer,FR,6,Admin4 Lines,2.223446000000024,11.007562000000064,14.42009500000006,27.463423000000034
CAF,MapServer,FR,7,Admin4,4.317264196000053,4.471400000000074,18.507030000000043,18.644089025000028
CAF,MapServer,FR,8,Base Map,2.223446000000024,11.007562000000064,14.42009500000006,27.463423000000034
CAF,FeatureServer,pcode,0,Admin0,2.223446000000024,11.007562000000064,14.42009500000006,27.463423000000034
CAF,FeatureServer,pcode,1,Admin1,2.223446000000024,11.007562000000064,14.42009500000006,27.463423000000034
CAF,FeatureServer,pcode,2,Admin2,2.223446000000024,11.007562000000064,14.42009500000006,27.463423000000034
CAF,FeatureServer,pcode,3,Admin3,2.223446000000024,11.007562000000064,14.42009500000006,27.463423000000034
CAF,FeatureServer,pcode,4,Admin4,4.317264196000053,4.471400000000074,18.507030000000043,18.644089025000028
CAF,FeatureServer,pcode,5,AdminLines,2.223446000000024,11.007562000000064,14.42009500000006,27.463423000000034
CAF,MapServer,pcode,0,Admin0,2.223446000000024,11.007562000000064,14.42009500000006,27.463423000000034
CAF,MapServer,pcode,1,Admin1,2.223446000000024,11.007562000000064,14.42009500000006,27.463423000000034
CAF,MapServer,pcode,2,Admin2,2.223446000000024,11.007562000000064,14.42009500000006,27.463423000000034
CAF,MapServer,pcode,3,Admin3,2.223446000000024,11.007562000000064,14.42009500000006,27.463423000000034
CAF,MapServer,pcode,4,Admin4,4.317264196000053,4.471400000000074,18.507030000000043,18.644089025000028
CAF,MapServer,pcode,5,AdminLines,2.223446000000024,11.007562000000064,14.42009500000006,27.463423000000034
CIV,MapServer,FR,0,Admin0,4.360553222000021,10.745650689000058,-8.584146518999944,-2.4923088679999523
CIV,MapServer,FR,1,Admin1,4.360553222000021,10.745650689000058,-8.584146518999944,-2.4923088679999523
CIV,MapServer,FR,2,Admin2 Lines,4.360553222000021,10.745650689000058,-8.584146518999944,-2.4923088679999523
CIV,MapServer,FR,3,Admin2,4.360553222000021,10.745650689000058,-8.584146518999944,-2.4923088679999523
CIV,MapServer,FR,4,Admin3 Lines,4.360553222000021,10.745650689000058,-8.584146518999944,-2.4923088679999523
CIV,MapServer,FR,5,Admin3,4.360553222000021,10.745650689000058,-8.584146518999944,-2.4923088679999523
CIV,MapServer,FR,6,Base Map,4.360553222000021,10.745650689000058,-8.584146518999944,-2.4923088679999523
